,description,size,specificity,AUC_LB,fp,pn,fn,pp,ConfusionMatrix,tn,p,sensitivity_UB,tp,specificity_LB,AUC,n,sensitivity_LB,sensitivity,AUC_UB,specificity_UB,Hispanic,age_first_child,age_group,bmi,density,ethnicity,hrt,lastmamm,menopause,nrelbc,rstproc,surgmeno
26,hrt:no,18615,0.7416192797183861,0.7163769839680806,4771,13730,36,4885,True,13694,150,0.8258954526996672,114,0.7352406209785928,0.750809639859193,18465,0.6835452494531813,0.76,0.7852422957503057,0.7479217687532792,,,,,,,no,,,,,
27,hrt:yes,16435,0.6887030317938626,0.6915810256429585,5062,11241,42,5194,True,11199,174,0.8201597093376602,132,0.6815223071104695,0.7236618607245175,16261,0.6880527114665382,0.7586206896551724,0.7557426958060763,0.6958162033803073,,,,,,,yes,,,,,
28,lastmamm:negative,34266,0.7106115955691727,0.7106296742317587,9823,24199,78,10067,True,24121,322,0.8035510201664812,244,0.705754811052044,0.7341877853622261,33944,0.7071649032866587,0.7577639751552795,0.7577458964926936,0.7154323198213934,,,,,,,,negative,,,,
29,lastmamm:false_positive,784,0.9872122762148338,0.9896661539501427,10,772,0,12,True,772,2,1.0,2,0.9766090033368054,0.9936061381074169,782,0.15811388300839305,1.0,0.9975461222646912,0.993851218666609,,,,,,,,false_positive,,,,
30,menopause:postmenopausal_or_age_>=_55,35050,0.7168404077636353,0.7146173580751274,9833,24971,78,10079,True,24893,324,0.8047970363048795,246,0.7120694370263836,0.7380498335114474,34726,0.7089114748561235,0.7592592592592593,0.7614823089477671,0.7215750884963821,,,,,,,,,postmenopausal_or_age_>=_55,,,
31,nrelbc:0,28833,0.6924233944312299,0.7209747784726246,8793,19844,49,8989,True,19795,245,0.8482223654748406,196,0.6870369788862373,0.746211697215615,28588,0.7443602927513141,0.8,0.7714486159586051,0.6977706805154191,,,,,,,,,,0,,
32,nrelbc:1,5581,0.8147005444646098,0.6601169006365315,1021,4516,27,1065,True,4489,71,0.7323964405063437,44,0.8041850359682101,0.7172094271618824,5510,0.49672070003439633,0.6197183098591549,0.7743019536872333,0.824881664741987,,,,,,,,,,1,,
33,nrelbc:>=2,636,0.9697452229299363,0.6993453761523574,19,611,2,25,True,609,8,0.9681459737500557,6,0.9531554150772533,0.8598726114649681,628,0.3491442055871758,0.75,1.0,0.9816883994680956,,,,,,,,,,>=2,,
34,rstproc:no,26868,0.6904234967553171,0.7042670022594005,8253,18453,47,8415,True,18406,209,0.8298402729091323,162,0.6848345271737558,0.7327715569900988,26659,0.7124188603348506,0.7751196172248804,0.761276111720797,0.695970935770652,,,,,,,,,,,no,
35,rstproc:yes,8182,0.8041403247799678,0.7263304309936477,1580,6518,31,1664,True,6487,115,0.8089284946100448,84,0.795308871571031,0.7672875536943318,8067,0.6397022955732211,0.7304347826086957,0.8082446763950158,0.8127515113444569,,,,,,,,,,,yes,
36,surgmeno:yes,8105,0.7583499501495513,0.6673159408130984,1939,6111,26,1994,True,6085,81,0.7784821343190031,55,0.7488282280725348,0.7186811479142817,8024,0.5660076312449618,0.6790123456790124,0.7700463550154655,0.7676836894326567,,,,,,,,,,,,yes
37,surgmeno:no,19919,0.645642143690108,0.6894915504522646,6989,12775,41,7144,True,12734,196,0.845506614877362,155,0.6389202873374413,0.7182292351103601,19723,0.7271084102335726,0.7908163265306123,0.7469669197684555,0.6523210428409755,,,,,,,,,,,,no
38,surgmeno:9,7026,0.8703252614987821,0.7568374343434152,905,6085,11,941,True,6074,47,0.8769665367144739,36,0.8622170314116583,0.8181413541536463,6979,0.6197427018760043,0.7659574468085106,0.8794452739638774,0.8781227088591621,,,,,,,,,,,,9
