,description,size,kolmogorov_smirnoff_confidence_score_statistic,kolmogorov_smirnoff_malignancy_score_statistic,kolmogorov_smirnoff_outlier_score_statistic,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,worst_area,worst_compactness,worst_concave_points,worst_concavity,worst_fractal_dimension,worst_perimeter,worst_radius,worst_smoothness,worst_symmetry,worst_texture
705,mean_concave_points:q00-20  worst_smoothness:q20-40,27,-0.3808254749214159,0.6512915129151291,0.6512915129151291,,,q00-20,,,,,,,,,,,,,,,q20-40,,
706,mean_concave_points:q00-20  worst_smoothness:q00-20,52,-0.24598274066359171,0.5397634280613004,0.5397634280613004,,,q00-20,,,,,,,,,,,,,,,q00-20,,
707,mean_concave_points:q80-100  worst_symmetry:q80-100,46,-0.2745032837309835,-0.7564635464294621,-0.7564635464294621,,,q80-100,,,,,,,,,,,,,,,,q80-100,
708,mean_concave_points:q80-100  worst_symmetry:q60-80,25,-0.3013235294117647,-0.7205882352941176,-0.7205882352941176,,,q80-100,,,,,,,,,,,,,,,,q60-80,
709,mean_concave_points:q60-80  worst_symmetry:q80-100,35,0.3626538255751739,-0.6095238095238096,-0.6095238095238096,,,q60-80,,,,,,,,,,,,,,,,q80-100,
710,mean_concave_points:q60-80  worst_symmetry:q40-60,22,0.5103041382748879,-0.4844606946983547,-0.4844606946983547,,,q60-80,,,,,,,,,,,,,,,,q40-60,
711,mean_concave_points:q60-80  worst_symmetry:q60-80,27,0.3190515238485718,-0.4832581659149925,-0.4832581659149925,,,q60-80,,,,,,,,,,,,,,,,q60-80,
712,mean_concave_points:q40-60  worst_symmetry:q40-60,25,0.1988235294117647,0.3327205882352941,0.3327205882352941,,,q40-60,,,,,,,,,,,,,,,,q40-60,
713,mean_concave_points:q40-60  worst_symmetry:q00-20,28,0.3284922101927647,0.3419593345656192,0.3419593345656192,,,q40-60,,,,,,,,,,,,,,,,q00-20,
714,mean_concave_points:q40-60  worst_symmetry:q20-40,31,0.2256265739297278,0.30855018587360594,0.30855018587360594,,,q40-60,,,,,,,,,,,,,,,,q20-40,
